Accession no.,Title,Object type,Artist,Date,Department,Culture,Materials,Technique,Dimensions,Credit line,Location,Credit,Image
1915.534,Nathaniel Hurd,Painting,John Singleton Copley,c. 1765,American Painting and Sculpture,America,,oil on canvas,Framed: 90.5 x 78 x 6.5 cm (35 5/8 x 30 11/16 x 2 9/16 in.); Unframed: 76.2 x 64.8 cm (30 x 25 1/2 in.),Gift of the John Huntington Art and Polytechnic Trust,204 Colonial American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1915.534/1915.534_web.jpg
1921.1239,Portrait of Dora Wheeler,Painting,William Merritt Chase,1882–83,American Painting and Sculpture,America,,oil on canvas,Framed: 180.6 x 188.6 x 11 cm (71 1/8 x 74 1/4 x 4 5/16 in.); Unframed: 159.8 x 166.4 cm (62 15/16 x 65 1/2 in.),Gift of Mrs. Boudinot Keith in memory of  Mr. and Mrs. J. H. Wade,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1921.1239/1921.1239_web.jpg
1922.1133,Stag at Sharkey's,Painting,George Bellows,1909,American Painting and Sculpture,America,,oil on canvas,Framed: 110 x 140.5 x 8.5 cm (43 5/16 x 55 5/16 x 3 3/8 in.); Unframed: 92 x 122.6 cm (36 1/4 x 48 1/4 in.),Hinman B. Hurlbut Collection,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1922.1133/1922.1133_web.jpg
1927.1984,The Biglin Brothers Turning the Stake,Painting,Thomas Eakins,1873,American Painting and Sculpture,America,,oil on canvas,Framed: 117 x 167 x 6.5 cm (46 1/16 x 65 3/4 x 2 9/16 in.); Unframed: 101.3 x 151.4 cm (39 7/8 x 59 5/8 in.),Hinman B. Hurlbut Collection,207 American Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1927.1984/1927.1984_web.jpg
1928.8,The Race Track (Death on a Pale Horse),Painting,Albert Pinkham Ryder,c. 1896–1908,American Painting and Sculpture,America,,oil on canvas,Framed: 84.5 x 102 x 6.5 cm (33 1/4 x 40 3/16 x 2 9/16 in.); Unframed: 70.5 x 90 cm (27 3/4 x 35 7/16 in.),Purchase from the J. H. Wade Fund,207 American Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1928.8/1928.8_web.jpg
1962.2,Mme L . . . (Laure Borreau),Painting,Gustave Courbet,1863,Modern European Painting and Sculpture,"France, 19th century",,oil on fabric,Framed: 112.4 x 93 x 12.1 cm (44 1/4 x 36 5/8 x 4 3/4 in.); Unframed: 81 x 61.2 cm (31 7/8 x 24 1/8 in.),Leonard C. Hanna Jr. Fund,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1962.2/1962.2_web.jpg
1965.233,Twilight in the Wilderness,Painting,Frederic Edwin Church,1860,American Painting and Sculpture,America,,oil on canvas,Unframed: 101.6 x 162.6 cm (40 x 64 in.); Framed: 124 x 185 x 13 cm (48 13/16 x 72 13/16 x 5 1/8 in.),Mr. and Mrs. William H. Marlatt Fund,206 American Landscape,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1965.233/1965.233_web.jpg
1978.63,In the Waves (Dans les Vagues),Painting,Paul Gauguin,1889,Modern European Painting and Sculpture,"France, 19th century",,oil on canvas,Framed: 123.8 x 106 x 7 cm (48 3/4 x 41 3/4 x 2 3/4 in.); Unframed: 92.5 x 72.4 cm (36 7/16 x 28 1/2 in.),Gift of Mr. and Mrs. William Powell Jones,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1978.63/1978.63_web.jpg
1977.43,Church Street El,Painting,Charles Sheeler,1920,American Painting and Sculpture,America,,oil on canvas,Framed: 60 x 67.5 x 6 cm (23 5/8 x 26 9/16 x 2 3/8 in.); Unframed: 41 x 48.5 cm (16 1/8 x 19 1/8 in.),Mr. and Mrs. William H. Marlatt Fund,226A American Modern,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1977.43/1977.43_web.jpg
1947.209,The Large Plane Trees (Road Menders at Saint-Rémy),Painting,Vincent van Gogh,1889,Modern European Painting and Sculpture,Netherlands,,oil on fabric,Framed: 104.5 x 124.5 x 7.6 cm (41 1/8 x 49 x 3 in.); Unframed: 73.4 x 91.8 cm (28 7/8 x 36 1/8 in.),Gift of the Hanna Fund,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1947.209/1947.209_web.jpg
