N° d'inventaire,Titre,Dénomination,Auteur,Datation,Domaine,Matériaux,Technique,Dimensions,Provenance,Localisation,Crédit,Image (URL)
D 1888 1,Bords du Touch,tableau,"YARZ, Edmond",1888 avant,Peinture,toile,peinture à l'huile,Hauteur : 58 — Largeur : 41 — Hauteur avec cadre en cm : 74,1888 Dépôt : Etat,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/e31b230f828c95445ae9684f8ad6a1f8
D 1959 7,Chapiteau à trois feuilles,chapiteau,Maître de Rieux — Anonyme,1333 — 1344,Sculpture,calcaire,bas-relief,Hauteur : 36.5 — Largeur : 64 — Profondeur : 60,1959.3 Dépôt : Centre public d'apprentissage Hélène Boucher,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/49639b85886843017e34a2bd0569ddb3
D 1962 3,La sainte Famille à la prune,tableau,Anonyme français — Anonyme toulousain ?,1626-1650,Peinture,toile,peinture à l'huile,Hauteur : 121 — Largeur : 102,1962 Dépôt : Direction des Musées de France,musée des Augustins,© Ville de Toulouse - musée des Augustins,
D 1949 7,Marine à voiliers,tableau,LE BARON MAICE,1949 avant — 1901-1950,Peinture,toile,peinture à l'huile,Hauteur : 54 — Largeur : 65,1949 Dépôt : Etat,musée des Augustins,,
D 1967 1,Nina chantant la romance,tableau,"GORP, Henri Nicolas Van — Anonyme français",,Peinture,toile,peinture à l'huile,Hauteur : 41 — Largeur : 33 — Hauteur avec cadre en cm : 47.5,1967 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/a2f8df67cd9faf0f43683c929a094673
D 2003 1,Portrait du peintre espagnol Moreno,tableau,CAROLUS-DURAN (dit),1866,Peinture,toile,peinture à l'huile,Hauteur : 80 — Largeur : 62 — Hauteur avec cadre en cm : 121,2003 Dépôt : Musée des Beaux-Arts de Lille,musée des Augustins,© RMN - Photo R. G. Ojeda.,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/c084e641e626bf840d0b9d787329d1b3
D 1938 1,Esquisse pour la coupole du théâtre de l'Odéon à,esquisse,"LAURENS, Jean-Paul",1888,Dessin,papier,peinture à l'huile,Hauteur : 75 — Largeur : 60,1938 Dépôt : Etat,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/ade12ac3ab2b2668bb2e1a3dbd5fcd33
D 1961 6,Brique avec figuration humaine et inscription,,Anonyme,1710,Sculpture,terre cuite,relief gravé,Hauteur : 38 — Largeur : 12.5 — Profondeur : 4.5,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/6593abc023984d8f5286c99f450d44f4
D 2009 2,Le Christ et les deux larrons : Larron aux jambes,sculpture,Anonyme français,1501-1600,Sculpture,bois,,Hauteur : 147 — Largeur : 175,"2009 Dépôt : Maison professe de la Compagnie de Jésus de Lyon,  30 mars 2017",musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/b6ae1877133050a1bd4afea035c414b9
D 1857 2,La Renaissance des Arts et des Lettres,tableau,"SIEURAC, Henri",1857 vers — 1851-1875,Peinture,toile,peinture à l'huile,Hauteur : 374 — Largeur : 240 — Hauteur avec cadre en cm : 405,1857 Dépôt : Etat,musée des Augustins,© Photo STC - Mairie de Toulouse,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/ecee9652f1c765c434e7fbbaf9106c51
D 1913 1,Oedipe retrouve le corps de ses enfants,tableau,"FONT, Constantin",1912,Peinture,toile,peinture à l'huile,Hauteur sans cadre : 113 — Largeur sans cadre : 144 — Hauteur : 140,1913 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - musée des Augustins,
D 1961 2,Brique estampée,,Anonyme,,Sculpture,terre cuite,bas-relief,Hauteur : 41 — Largeur : 28.5 — Profondeur : 5,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,,
D 1864 3,Portrait de l'Empereur Napoléon III,tableau,"REVERCHON, André — FLANDRIN, Hippolyte",1863 vers — 1851-1875,Peinture,toile,peinture à l'huile,Hauteur : 215 — Largeur : 148,1864 Dépôt : Etat,musée des Augustins,,
D 1952 1,Frédéric Desmarais,LE PERE DESMARETS,"INGRES, Jean-Auguste-Dominique",1805,Peinture,toile,peinture à l'huile,Hauteur : 65 — Largeur : 54.5 — Hauteur avec cadre en cm : 82,1952 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/a6c153e0822eac335a3dc73009a8cdcc
D 1959 3,La Vierge à l'Enfant et le Mystère de la Passion,tableau,"TINTI, Giovanni-Battista",1588 vers — ?,Peinture,toile,peinture à l'huile,Hauteur : 254 — Largeur : 156 — Hauteur avec cadre en cm : 283,1957 Dépôt : Direction des Musées de France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/d2b6073a8945392412617267511b2e41
D 1981 1,Conversation,tableau,"ROUSSEL, Ker Xavier",1891 vers,Peinture,toile,peinture à l'huile,Hauteur : 41 — Largeur : 32 — Hauteur avec cadre en cm : 48,1969 Dépôt : Musée du Vieux-Toulouse,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/30fb4523b479f821e56988ff185b982a
D 1912 1,Moulage des parques (Parthénon),,"MICHELET, Firmin-Marcelin",,Sculpture,plâtre,moulage,,1912 Dépôt : Etat,musée des Augustins,,
D 1961 14,Portrait de jeune femme,tableau,"AVED, Joseph — Anonyme français",,Peinture,toile,peinture à l'huile,Hauteur : 76 — Largeur : 61,1923 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/3d60783f204a46f02cd6fb616cc4dbde
RO 154,Vision de saint Jean à Patmos,,"LEBRE, André",1695,Peinture,toile,peinture à l'huile,Hauteur : 332 — Largeur : 194,,musée des Augustins,© Ville de Toulouse - Archives Municipales,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/a51b61e78ce32113c058d3f79ca57682
D 1911 5,A Loguivy,LEGUIVY (CÔTES DU NORD),"GAUTHIER, François-Henri",1910  date d'achat,Peinture,toile,peinture à l'huile,Hauteur : 76 — Largeur : 65,1911 Dépôt : Etat,musée des Augustins,,
D 1941 5,Jeune fille à la gerbe,statuette,"ANDROUSOV, Vadime",1941 vers — 1926-1950,Sculpture,terre cuite,modelage,Hauteur : 51 — Largeur : 17.5 — Profondeur : 13,1941 Dépôt : Etat,musée des Augustins,© STC - Mairie de Toulouse,
D 1959 1,La Chasse,partie d'un ensemble de peintures,"FRANCO, Giovanni di — Anonyme florentin",,Peinture,peuplier,tempera,Hauteur : 27 — Largeur : 236 — Hauteur avec cadre en cm : 29.5,1959.1 Dépôt : Direction des Musées de France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/f57ba6d33f81088e71f6b6c4f5a43af7
D 1961 5,Brique portant une inscription,relief,Anonyme,1788,Sculpture,terre cuite,gravure,Hauteur : 40.5 — Largeur : 28.5 — Profondeur : 6,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/867d3dc636725af608b8126740ff8928
D 1803 16,Scène du Déluge,tableau,"SCARCELLA, Ippolito — PAUWELS, Franck",,Peinture,noyer,peinture à l'huile,Hauteur : 46 — Largeur : 28 — Hauteur avec cadre en cm : 62.5,1803 Affectation : Gouvernement consulaire,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/928ece37235bbe226c68b8395d5e3426
D 1925 2,Pommiers en fleurs,tableau,"RAMOND, Paul",1925 vers — 1926-1950,Peinture,toile,peinture à l'huile,Hauteur : 46 — Largeur : 55,1925 Dépôt : Etat,musée des Augustins,,
D 1889 1,Choix d'oeillets,,"LEMAIRE, Madeleine — COLL, Madeleine",1889 vers — 1876-1900,Dessin,papier,aquarelle,Hauteur : 24 — Largeur : 34,1889 Dépôt : Etat,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/d28d405bd05dd18ca0e516072bffe198
D 1946 1,Sous les arbres du pavillon rouge,tableau,"VUILLARD, Edouard",1905 entre — 1907 et,Peinture,papier,détrempe,Hauteur : 106 — Largeur : 128.5 — Hauteur avec cadre en cm : 109.5,1946 Dépôt : Musée national d'art moderne,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/8bd03c820bb6297423da6e4a83969cc2
D 1960 1,Portrait de Martino Widmann,tableau,"STROZZI, Bernardo — Anonyme flamand",1630 entre — 1644 et,Peinture,toile,peinture à l'huile,Hauteur : 111 — Largeur : 83,1960.2 Dépôt : Direction des Musées de France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/5a0212599d5e46646279cecf354e2dfc
RO 636,La Barque de saint Julien l'hospitalier,tableau,"DAWANT, Albert-Pierre",1885,Peinture,toile,peinture à l'huile,Hauteur : 270 — Largeur : 398,1885 Dépôt : Etat,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/507a6670be75ad3dad7daf224addb957
D 1812 4,Martyre de saint André,tableau,"Anonyme italien — RIBERA, Jusèpe de",1601-1700,Peinture,toile,peinture à l'huile,Hauteur : 218 — Largeur : 198,1812 Envoi : Gouvernement Impérial,musée des Augustins,,
D 1920 2,Femme à sa toilette,tableau,"BOULET, Cyprien Eugène",1920 vers — 1901-1925,Peinture,toile,peinture à l'huile,Hauteur : 125 — Largeur : 94,1920 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - musée des Augustins,
D 1929 4,Rivière,tableau,"MESPLE, Paul",1929 vers — 1926-1950,Peinture,bois,peinture à l'huile,Hauteur : 39 — Largeur : 52,1929 Dépôt : Etat,musée des Augustins,© Bernard Delorme,
D 1958 1,Portrait d'Elisabetta Querini Massola,tableau,"Anonyme vénitien — VECELLIO, Tiziano",1576-1600,Peinture,toile,peinture à l'huile,Hauteur : 110 — Largeur : 91 — Hauteur avec cadre en cm : 134.5,1958.1 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/bea76208cc98055a418977a7008d6902
D 1959 9,Elément d'un pilier engagé à noyau flanqué de,fragment,Maître de Rieux — Anonyme,1333 — 1344,Sculpture,calcaire,taille directe,Hauteur : 57 — Largeur : 62 — Profondeur : 66,1959.3 Dépôt : Centre public d'apprentissage Hélène Boucher,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/c43cdb3db5059b9d12d77bc2838fd469
D 1960 2,Tête de jeune fille,étude,"INGRES, Jean-Auguste-Dominique",1810 entre — ?,Peinture,papier,peinture à l'huile,Hauteur : 18 — Largeur : 24.5,1960.2 Dépôt : Direction des Musées de France,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/3a3b2593f2e0cb583e0538c78e26562e
D 1960 3,TRANSLATION DES RELIQUES DE SAINT AUGUSTIN,tableau,"DESPAX, Jean-Baptiste",1741 entre — 1744 et,Peinture,toile,peinture à l'huile,Hauteur : 270 — Largeur : 178.5,1960.3 Dépôt : Mairie de Martres-Tolosane,musée des Augustins,,
D 1961 7,Brique portant une inscription,,Anonyme,,Sculpture,terre cuite,relief gravé,Hauteur : 36 — Largeur : 25 — Profondeur : 4,1960.1 Dépôt : Société archéologique du midi de la France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/bf6ad11a15f21ba41bfe2d139bfedad2
D 1904 5,Neige d'automne,tableau,"DURST, Auguste",1903 vers,Peinture,toile,peinture à l'huile,Hauteur : 63 — Largeur : 90,1904 Dépôt : Etat,musée des Augustins,,
D 1873 12,Pastorale,tableau,"BOUCHER, François",1726-1750 — 1751-1775,Peinture,toile,peinture à l'huile,Hauteur : 46 — Largeur : 60,1873 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/b29120143338066b38d86fbb48445584
D 1930 2,Vieille cour à Perpignan,tableau,"BAILLEUL, Léonie de",1929,Peinture,toile,peinture à l'huile,Hauteur : 48 — Largeur : 36,1930 Dépôt : Etat,musée des Augustins,,
D 1950 1,Tarcisius martyr chrétien,statue,"FALGUIERE, Jean-Alexandre-Joseph",1868,Sculpture,plâtre,moulage,Hauteur : 65 — Largeur : 146 — Profondeur : 64,1950 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/4e31afe284eee2b19f40037c2a04bccb
D 1952 6,Les Capitouls de 1369 et 1370,enluminure,Anonyme toulousain,1369-1370,Peinture,parchemin,,"Hauteur : 41,5 — Largeur : 27",1952.2 Dépôt : Etat Dépôt : Musée du Louvre Cabinet des dessins,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/bc9ce241bc10ddc7b9dd9ccc58a09a5b
D 1958 3,Tête de jeune femme,tête,"ARBUS, André",1958,Sculpture,bronze,fonte,Hauteur : 27 — Largeur : 16.5 — Profondeur : 29,1958.2 Dépôt : Direction Générale des Arts et des Lettres,musée des Augustins,© Photo Daniel Martin,
D 1897 1,Maria de Padilla,tableau,"GERVAIS, Paul-Léon",1895,Peinture,toile,peinture à l'huile,Hauteur : 437 — Largeur : 347,1897 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - Archives Municipales,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/4246e8ee069487b89746dade4884b990
D 1929 1,La Petite Rue Saint-Nicolas à Toulouse,,"BOUILLIERE, Edouard",1929 vers — 1926-1950,Dessin,papier,aquarelle,Hauteur : 41 — Largeur : 34,1929 Dépôt : Etat,musée des Augustins,,
D 1846 1,San Diego de Alcalá de Henares en extase devant la,tableau,"MURILLO, Bartolomé-Esteban",1645 entre — 1646 et,Peinture,toile,peinture à l'huile,"Hauteur : 173 — Largeur : 186 — Profondeur : 4,5",1843 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/da75bed83fe109fe2cc453d1d93a3b5b
RO 464,Paysage de rivière avec barque,Paysage,"UDEN, Lucas van",1627 entre — 1672 et,Peinture,cuivre,peinture à l'huile,Hauteur : 16 — Largeur : 20,,musée des Augustins,© Ville de Toulouse - Archives Municipales,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/b212fc6d36781457bbb2e4d9bf788ba7
D 1929 7,Violiers et boules de neige,tableau,"RIVIERE, Hélène",1929,Peinture,toile,peinture à l'huile,Hauteur : 60 — Largeur : 73,1929 Dépôt : Etat,musée des Augustins,© Bernard Delorme,
D 1951 2,Torse de jeune fille,ronde-bosse,"PARAYRE, Henry Ernest",1937 — 1929  date du plâtre d'origine,Sculpture,bronze,fonte,Hauteur : 66.5 — Largeur : 41 — Profondeur : 22,1951 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,
D 1959 10,Elément d'un pilier engagé à noyau flanqué de,fragment,Anonyme,1326-1350,Sculpture,pierre,taille directe,Hauteur : 100 — Largeur : 64 — Profondeur : 50,1959.3 Dépôt : Centre public d'apprentissage Hélène Boucher,musée des Augustins,,
D 1959 4,La Vierge à l'Enfant entre saint Sébastien et,tableau,"BASAITI, Marco",1476-1500 — 1501-1550,Peinture,peuplier,peinture à l'huile,"Hauteur : 70,5 — Largeur : 101,5 — Profondeur : 3,5",1957 Dépôt : Direction des Musées de France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/bf3c8d51a6acdf32ebce0c8dbd347d8d
D 1912 3,Soir antique,tableau,"CAZES, Clovis",1911,Peinture,toile,peinture à l'huile,Hauteur : 143 — Largeur : 196,1912 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/4e3208881c9d7c5b326bc954ae977167
D 1949 18,Masques,tête,"LIPSZYC, Moryce",1942 vers,Sculpture,bronze,fonte,Largeur : 39 — Largeur : 28 — Profondeur : 27,1949 Dépôt : Etat,musée des Augustins,© STC - Mairie de Toulouse,
D 1950 5,Portrait de Jean de Caulet en Apollon couronné,tableau,"CHALETTE, Jean",1635,Peinture,toile,peinture à l'huile,Hauteur : 104.5 — Largeur : 77,1950 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/a5a777a0245d78ad3bdc85f88a578f70
D 1956 1,Portrait de femme,tableau,"Anonyme français — FLORIS DE VRIENT, Frans I",1501-1600,Peinture,bois,peinture à l'huile,Hauteur : 32 — Largeur : 25.3,1955 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/addc061132c3cdf662197a0abc7aabf1
D 2001 3,L'Eclair,tableau,"ANTIGNA, Alexandre",1848,Peinture,toile,peinture à l'huile,"Hauteur : 219,5 — Largeur : 170 — Hauteur avec cadre en cm : 243.5",2001 Dépôt : Musée d'Orsay,musée des Augustins,© RMN - © Philipp Bernard,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/dd3141d2660eed34161e0b9ff0c3f095
D 1953 1,Portrait d'un valet d'une guilde d'arquebusiers,Portrait d'homme en noir : officier d'une gilde,"Anonyme flamand — VOS, Cornelis de",,Peinture,bois,peinture à l'huile,Hauteur : 61 — Largeur : 46,1953 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/29d9e6788a8a45d636cb043dd27c018d
D 1954 1,Portrait de général,tableau,"GROS, Antoine-Jean, baron",1795 entre — 1799 et,Peinture,toile,peinture à l'huile,Hauteur : 80 — Largeur : 65,1954 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/18063b2ace0b625ccf65eaabd5f00f2b
D 1993 1,"Jacques Boe, dit Jasmin",statue,Anonyme,,Sculpture,plâtre,,Hauteur : 148 statue — Largeur : 55 statue — Profondeur : 80 statue,1993 Dépôt : Académie des Jeux Floraux,musée des Augustins,,
